system_id,name,system_type,description,criticality,data_classification,status
SYS_SEPA,System Payment SEPA,Payment Channel,Creates and dispatches SEPA payment instructions.,Critical,Confidential,Active
SYS_SWIFT,System Payment SWIFT,Payment Channel,Creates and dispatches SWIFT payment instructions.,Critical,Confidential,Active
SYS_PAYMENT_CORE,Payment Processing Core,Payment Orchestration,"Tracks instructions, compliance release decisions and final payment status.",Critical,Confidential,Active
SYS_SANCTIONS,Sanctions Monitoring,Compliance Screening,"Screens payments against sanctions, restricted parties and unusual-risk alerts; produces release decisions.",Critical,Restricted,Active
SYS_MARKET,Compliance Market Abuse Surveillance,Compliance Surveillance,Monitors trading activity patterns and generates compliance-review alerts.,Critical,Restricted,Active
SYS_SETTLE,Settlement & Reconciliation Platform,Settlement,Reconciles internal payment status with settlement confirmations and account movement.,Critical,Confidential,Active
SYS_TICKET,Ticketing System,IT Service Management,"Tracks incidents, service requests, investigations and resolutions for teams.",High,Internal,Active
SYS_IDM,System Manager Identity,Identity Governance,"Manages user identities, permissions and access-review evidence.",Critical,Restricted,Active
SYS_INPUT,Input Hub System,Data Integration,Ingests and normalises external feeds for consuming compliance and payment systems.,Critical,Restricted,Active
SYS_INNOV,Innovation Sandbox,Development,Supports assessment and prototyping of future technology opportunities.,Medium,Internal,Active
